step,rows_1,rows_5,rows_10,rows_25
42400,14,15,15,16
42500,16,15,15,14
42600,14,15,15,14
42700,14,15,15,14
42800,15,15,15,14
42900,14,15,15,14
43000,15,15,15,14
43100,15,15,15,15
43200,15,15,15,14
43300,14,15,15,14
43400,14,15,15,14
43500,14,15,15,14
43600,14,15,15,15
43700,14,15,15,14
43800,14,15,15,14
43900,14,16,16,14
44000,14,15,15,15
44100,14,15,15,14
44200,14,15,15,15
44300,14,15,15,14
44400,15,16,16,15
44500,14,15,15,14
44600,14,15,15,16
44700,14,15,15,14
44800,14,15,15,15
44900,15,15,15,14
45000,14,15,15,14
45100,14,15,15,14
45200,14,15,15,14
45300,14,15,15,14
45400,14,15,15,14
45500,14,15,15,14
45600,14,15,15,14
45700,15,15,15,14
45800,14,15,15,14
45900,14,15,15,14
46000,14,16,16,15
46100,14,15,15,14
46200,14,15,15,15
46300,14,15,15,14
46400,14,15,15,14
46500,14,16,16,14
46600,14,15,15,14
46700,14,15,15,14
46800,15,15,15,14
46900,14,15,15,14
47000,14,15,15,15
47100,15,15,15,15
47200,14,15,15,14
47300,14,15,15,14
47400,14,15,15,14
47500,15,15,15,14
47600,14,15,15,14
47700,14,15,15,14
47800,15,15,15,14
47900,14,15,15,14
48000,14,15,15,14
48100,14,15,15,14
48200,14,15,15,14
48300,14,15,15,14
48400,15,15,15,14
48500,14,15,15,14
48600,14,15,15,14
48700,15,15,15,14
48800,14,15,15,14
48900,14,15,15,15
49000,14,15,15,14
49100,14,15,15,14
49200,14,15,15,15
49300,14,15,15,14
49400,14,15,15,14
49500,14,15,15,14
49600,14,15,15,14
49700,14,15,15,14
49800,14,15,15,14
49900,14,15,15,14
